YEAR,Question,Answer,Percentage,Num_Answers
2000.0,ABANY,1.0,39.87556561085973,1768
2000.0,ABANY,2.0,60.12443438914027,1768
2000.0,ABDEFECT,1.0,78.74859075535512,1774
2000.0,ABDEFECT,2.0,21.25140924464487,1774
2000.0,ABHLTH,1.0,88.51540616246498,1785
2000.0,ABHLTH,2.0,11.484593837535014,1785
2000.0,ABNOMORE,1.0,40.67796610169492,1770
2000.0,ABNOMORE,2.0,59.32203389830508,1770
2000.0,ABPOOR,1.0,42.24478285391991,1773
2000.0,ABPOOR,2.0,57.7552171460801,1773
2000.0,ABRAPE,1.0,80.5603201829617,1749
2000.0,ABRAPE,2.0,19.439679817038307,1749
2000.0,ABSINGLE,1.0,39.105829088851166,1767
2000.0,ABSINGLE,2.0,60.894170911148834,1767
2000.0,ADULTS,1.0,34.06749555950267,2815
2000.0,ADULTS,2.0,53.67673179396092,2815
2000.0,ADULTS,3.0,8.987566607460035,2815
2000.0,ADULTS,4.0,2.7353463587921847,2815
2000.0,ADULTS,5.0,0.4618117229129663,2815
2000.0,ADULTS,6.0,0.07104795737122557,2815
2000.0,AFFRMACT,1.0,11.525229357798166,1744
2000.0,AFFRMACT,2.0,7.454128440366972,1744
2000.0,AFFRMACT,3.0,27.522935779816514,1744
2000.0,AFFRMACT,4.0,53.497706422018354,1744
2000.0,AGE,1.0,47.38693467336683,1990
2000.0,AGE,2.0,27.939698492462313,1990
2000.0,AGE,3.0,24.673366834170853,1990
2000.0,AGED,1.0,51.52651312265667,1867
2000.0,AGED,2.0,31.708623460096412,1867
2000.0,AGED,3.0,16.764863417246918,1867
2000.0,AMPROGRN,1.0,12.290502793296088,1074
2000.0,AMPROGRN,2.0,42.17877094972067,1074
2000.0,AMPROGRN,3.0,45.530726256983236,1074
2000.0,ANTESTS,1.0,11.71875,1152
2000.0,ANTESTS,2.0,44.87847222222222,1152
2000.0,ANTESTS,3.0,19.618055555555554,1152
2000.0,ANTESTS,4.0,15.972222222222221,1152
2000.0,ANTESTS,5.0,7.8125,1152
2000.0,ASKCOMP,1.0,77.19941348973607,1364
2000.0,ASKCOMP,2.0,18.10850439882698,1364
2000.0,ASKCOMP,3.0,2.346041055718475,1364
2000.0,ASKCOMP,4.0,2.346041055718475,1364
2000.0,ASKCRIME,1.0,86.21190130624092,1378
2000.0,ASKCRIME,2.0,11.46589259796807,1378
2000.0,ASKCRIME,3.0,1.5239477503628447,1378
2000.0,ASKCRIME,4.0,0.7982583454281567,1378
2000.0,ASKDRINK,1.0,64.05797101449275,1380
