YEAR,Question,Answer,Percentage,Num_Answers
2000.0,ABANY,1.0,38.25079030558483,949
2000.0,ABANY,2.0,61.74920969441517,949
2000.0,ABDEFECT,1.0,79.26701570680629,955
2000.0,ABDEFECT,2.0,20.732984293193716,955
2000.0,ABHLTH,1.0,89.00523560209425,955
2000.0,ABHLTH,2.0,10.99476439790576,955
2000.0,ABNOMORE,1.0,39.02439024390244,943
2000.0,ABNOMORE,2.0,60.97560975609756,943
2000.0,ABPOOR,1.0,40.23231256599789,947
2000.0,ABPOOR,2.0,59.76768743400211,947
2000.0,ABRAPE,1.0,81.32337246531483,937
2000.0,ABRAPE,2.0,18.676627534685167,937
2000.0,ABSINGLE,1.0,37.46031746031746,945
2000.0,ABSINGLE,2.0,62.53968253968254,945
2000.0,ADULTS,1.0,33.266666666666666,1500
2000.0,ADULTS,2.0,54.0,1500
2000.0,ADULTS,3.0,9.4,1500
2000.0,ADULTS,4.0,2.933333333333333,1500
2000.0,ADULTS,5.0,0.33333333333333337,1500
2000.0,ADULTS,6.0,0.06666666666666667,1500
2000.0,AFFRMACT,1.0,10.59322033898305,944
2000.0,AFFRMACT,2.0,6.038135593220339,944
2000.0,AFFRMACT,3.0,26.48305084745763,944
2000.0,AFFRMACT,4.0,56.88559322033898,944
2000.0,AGE,1.0,47.577519379844965,1032
2000.0,AGE,2.0,28.77906976744186,1032
2000.0,AGE,3.0,23.643410852713178,1032
2000.0,AGED,1.0,50.6572295247725,989
2000.0,AGED,2.0,33.26592517694641,989
2000.0,AGED,3.0,16.076845298281093,989
2000.0,AMPROGRN,1.0,11.827956989247312,558
2000.0,AMPROGRN,2.0,42.831541218637994,558
2000.0,AMPROGRN,3.0,45.340501792114694,558
2000.0,ANTESTS,1.0,9.78441127694859,603
2000.0,ANTESTS,2.0,44.61028192371476,603
2000.0,ANTESTS,3.0,21.558872305140962,603
2000.0,ANTESTS,4.0,16.25207296849088,603
2000.0,ANTESTS,5.0,7.79436152570481,603
2000.0,ASKCOMP,1.0,78.4090909090909,704
2000.0,ASKCOMP,2.0,17.329545454545457,704
2000.0,ASKCOMP,3.0,1.9886363636363635,704
2000.0,ASKCOMP,4.0,2.272727272727273,704
2000.0,ASKCRIME,1.0,86.35724331926863,711
2000.0,ASKCRIME,2.0,10.970464135021098,711
2000.0,ASKCRIME,3.0,1.6877637130801686,711
2000.0,ASKCRIME,4.0,0.9845288326300985,711
2000.0,ASKDRINK,1.0,66.05633802816901,710
2000.0,ASKDRINK,2.0,25.070422535211268,710
2000.0,ASKDRINK,3.0,6.197183098591549,710
2000.0,ASKDRINK,4.0,2.676056338028169,710
2000.0,ASKDRUGS,1.0,83.33333333333334,708
2000.0,ASKDRUGS,2.0,12.85310734463277,708
2000.0,ASKDRUGS,3.0,2.401129943502825,708
2000.0,ASKDRUGS,4.0,1.4124293785310735,708
2000.0,ASKFINAN,1.0,48.80785413744741,713
2000.0,ASKFINAN,2.0,26.64796633941094,713
