YEAR,Question,Answer,Percentage,Num_Answers
2000.0,ABANY,1.0,47.64595103578154,531
2000.0,ABANY,2.0,52.35404896421846,531
2000.0,ABDEFECT,1.0,80.86303939962477,533
2000.0,ABDEFECT,2.0,19.13696060037524,533
2000.0,ABHLTH,1.0,89.96282527881041,538
2000.0,ABHLTH,2.0,10.037174721189592,538
2000.0,ABNOMORE,1.0,49.81617647058824,544
2000.0,ABNOMORE,2.0,50.18382352941176,544
2000.0,ABPOOR,1.0,50.56179775280899,534
2000.0,ABPOOR,2.0,49.43820224719101,534
2000.0,ABRAPE,1.0,82.73921200750469,533
2000.0,ABRAPE,2.0,17.26078799249531,533
2000.0,ABSINGLE,1.0,47.95539033457249,538
2000.0,ABSINGLE,2.0,52.04460966542751,538
2000.0,AFFRMACT,1.0,10.16949152542373,531
2000.0,AFFRMACT,2.0,7.721280602636535,531
2000.0,AFFRMACT,3.0,28.24858757062147,531
2000.0,AFFRMACT,4.0,53.86064030131826,531
2000.0,AGED,1.0,56.60377358490566,583
2000.0,AGED,2.0,26.07204116638079,583
2000.0,AGED,3.0,17.32418524871355,583
2000.0,AMPROGRN,1.0,11.781609195402298,348
2000.0,AMPROGRN,2.0,36.7816091954023,348
2000.0,AMPROGRN,3.0,51.43678160919541,348
2000.0,ANTESTS,1.0,14.363143631436316,369
2000.0,ANTESTS,2.0,49.05149051490515,369
2000.0,ANTESTS,3.0,15.447154471544716,369
2000.0,ANTESTS,4.0,14.363143631436316,369
2000.0,ANTESTS,5.0,6.775067750677506,369
2000.0,ASKCOMP,1.0,79.3103448275862,435
2000.0,ASKCOMP,2.0,15.862068965517242,435
2000.0,ASKCOMP,3.0,2.528735632183908,435
2000.0,ASKCOMP,4.0,2.2988505747126435,435
2000.0,ASKCRIME,1.0,90.41095890410958,438
2000.0,ASKCRIME,2.0,8.904109589041095,438
2000.0,ASKCRIME,3.0,0.45662100456621,438
2000.0,ASKCRIME,4.0,0.228310502283105,438
2000.0,ASKDRINK,1.0,64.84018264840182,438
2000.0,ASKDRINK,2.0,27.168949771689498,438
2000.0,ASKDRINK,3.0,6.164383561643835,438
2000.0,ASKDRINK,4.0,1.82648401826484,438
2000.0,ASKDRUGS,1.0,83.82687927107062,439
2000.0,ASKDRUGS,2.0,13.439635535307518,439
2000.0,ASKDRUGS,3.0,2.050113895216401,439
2000.0,ASKDRUGS,4.0,0.683371298405467,439
2000.0,ASKFINAN,1.0,59.7254004576659,437
2000.0,ASKFINAN,2.0,28.37528604118993,437
2000.0,ASKFINAN,3.0,8.237986270022883,437
2000.0,ASKFINAN,4.0,3.6613272311212817,437
2000.0,ASKFORGN,1.0,50.91324200913242,438
2000.0,ASKFORGN,2.0,29.45205479452055,438
2000.0,ASKFORGN,3.0,13.6986301369863,438
2000.0,ASKFORGN,4.0,5.93607305936073,438
2000.0,ASKFRBIZ,1.0,60.59907834101382,434
2000.0,ASKFRBIZ,2.0,30.414746543778804,434
2000.0,ASKFRBIZ,3.0,7.142857142857142,434
2000.0,ASKFRBIZ,4.0,1.8433179723502304,434
2000.0,ASKFRTRV,1.0,51.7162471395881,437
2000.0,ASKFRTRV,2.0,32.494279176201374,437
2000.0,ASKFRTRV,3.0,10.297482837528603,437
2000.0,ASKFRTRV,4.0,5.491990846681922,437
2000.0,ASKMENTL,1.0,78.26086956521739,437
2000.0,ASKMENTL,2.0,16.475972540045767,437
2000.0,ASKMENTL,3.0,4.576659038901601,437
2000.0,ASKMENTL,4.0,0.6864988558352403,437
2000.0,ASKSEXOR,1.0,26.08695652173913,437
2000.0,ASKSEXOR,2.0,15.102974828375288,437
2000.0,ASKSEXOR,3.0,28.60411899313501,437
2000.0,ASKSEXOR,4.0,30.205949656750576,437
2000.0,ASNCHNG,1.0,18.29573934837093,399
2000.0,ASNCHNG,2.0,57.89473684210527,399
2000.0,ASNCHNG,3.0,22.05513784461153,399
2000.0,ASNCHNG,4.0,1.2531328320802004,399
2000.0,ASNCHNG,5.0,0.5012531328320802,399
2000.0,BIBLE,1.0,21.04499274310595,689
2000.0,BIBLE,2.0,54.71698113207547,689
2000.0,BIBLE,3.0,23.36719883889696,689
2000.0,BIBLE,4.0,0.8708272859216255,689
2000.0,BIZPEOP,1.0,14.461538461538462,325
2000.0,BIZPEOP,2.0,60.30769230769231,325
2000.0,BIZPEOP,3.0,25.23076923076923,325
2000.0,BLKCHNG,1.0,17.980295566502463,406
2000.0,BLKCHNG,2.0,50.0,406
2000.0,BLKCHNG,3.0,26.60098522167488,406
2000.0,BLKCHNG,4.0,4.679802955665025,406
2000.0,BLKCHNG,5.0,0.7389162561576355,406
2000.0,BLKCLS,1.0,61.18012422360248,322
2000.0,BLKCLS,2.0,38.81987577639752,322
2000.0,BLKCOM,1.0,61.206896551724135,348
2000.0,BLKCOM,2.0,38.793103448275865,348
2000.0,BLKREL,1.0,11.527377521613833,347
2000.0,BLKREL,2.0,88.47262247838617,347
2000.0,BLKSCHL,1.0,52.46376811594203,345
2000.0,BLKSCHL,2.0,47.53623188405797,345
2000.0,BLKSIMP,1.0,62.61510128913444,543
2000.0,BLKSIMP,2.0,4.23572744014733,543
2000.0,BLKSIMP,3.0,33.14917127071823,543
2000.0,BORN,1.0,87.61682242990653,856
2000.0,BORN,2.0,12.38317757009346,856
2000.0,BUSDECID,1.0,7.228915662650602,332
2000.0,BUSDECID,2.0,92.7710843373494,332
2000.0,CAMWRK,1.0,15.011547344110854,433
2000.0,CAMWRK,2.0,46.18937644341801,433
2000.0,CAMWRK,3.0,18.24480369515012,433
2000.0,CAMWRK,4.0,15.473441108545035,433
2000.0,CAMWRK,5.0,5.080831408775981,433
2000.0,CAPPUN,1.0,65.99241466498104,791
2000.0,CAPPUN,2.0,34.007585335018966,791
2000.0,CARSFAM,1.0,12.834224598930485,374
2000.0,CARSFAM,2.0,30.213903743315505,374
2000.0,CARSFAM,3.0,46.524064171122994,374
2000.0,CARSFAM,4.0,9.893048128342247,374
2000.0,CARSFAM,5.0,0.53475935828877,374
2000.0,CARSGEN,1.0,18.010752688172044,372
2000.0,CARSGEN,2.0,34.946236559139784,372
2000.0,CARSGEN,3.0,42.74193548387097,372
2000.0,CARSGEN,4.0,4.301075268817205,372
2000.0,CHARISMA,1.0,6.641604010025063,798
2000.0,CHARISMA,2.0,93.35839598997494,798
2000.0,CHEMGEN,1.0,16.886543535620053,379
2000.0,CHEMGEN,2.0,32.71767810026385,379
2000.0,CHEMGEN,3.0,45.11873350923483,379
2000.0,CHEMGEN,4.0,5.013192612137203,379
2000.0,CHEMGEN,5.0,0.2638522427440633,379
2000.0,CHKTRAVL,1.0,17.715617715617714,429
2000.0,CHKTRAVL,2.0,46.620046620046615,429
2000.0,CHKTRAVL,3.0,18.88111888111888,429
2000.0,CHKTRAVL,4.0,14.219114219114218,429
2000.0,CHKTRAVL,5.0,2.564102564102564,429
2000.0,CHOICE,1.0,44.62242562929062,437
