YEAR,Question,Answer,Percentage,Num_Answers
2000.0,ABANY,1.0,39.92248062015504,774
2000.0,ABANY,2.0,60.07751937984496,774
2000.0,ABDEFECT,1.0,81.66666666666667,780
2000.0,ABDEFECT,2.0,18.33333333333333,780
2000.0,ABHLTH,1.0,90.63291139240506,790
2000.0,ABHLTH,2.0,9.367088607594935,790
2000.0,ABNOMORE,1.0,43.66197183098591,781
2000.0,ABNOMORE,2.0,56.33802816901409,781
2000.0,ABPOOR,1.0,43.53393085787452,781
2000.0,ABPOOR,2.0,56.46606914212549,781
2000.0,ABRAPE,1.0,84.1025641025641,780
2000.0,ABRAPE,2.0,15.897435897435896,780
2000.0,ABSINGLE,1.0,40.74550128534704,778
2000.0,ABSINGLE,2.0,59.25449871465296,778
2000.0,AFFRMACT,1.0,10.904255319148938,752
2000.0,AFFRMACT,2.0,7.313829787234042,752
2000.0,AFFRMACT,3.0,26.99468085106383,752
2000.0,AFFRMACT,4.0,54.78723404255319,752
2000.0,AGED,1.0,54.468599033816425,828
2000.0,AGED,2.0,30.193236714975846,828
2000.0,AGED,3.0,15.338164251207727,828
2000.0,AMPROGRN,1.0,15.637860082304528,486
2000.0,AMPROGRN,2.0,40.32921810699588,486
2000.0,AMPROGRN,3.0,44.03292181069959,486
2000.0,ANTESTS,1.0,14.728682170542635,516
2000.0,ANTESTS,2.0,52.32558139534884,516
2000.0,ANTESTS,3.0,16.86046511627907,516
2000.0,ANTESTS,4.0,11.821705426356589,516
2000.0,ANTESTS,5.0,4.263565891472868,516
2000.0,ASKCOMP,1.0,79.14614121510674,609
2000.0,ASKCOMP,2.0,16.091954022988507,609
2000.0,ASKCOMP,3.0,2.7914614121510675,609
2000.0,ASKCOMP,4.0,1.9704433497536944,609
2000.0,ASKCRIME,1.0,86.6231647634584,613
2000.0,ASKCRIME,2.0,10.929853181076671,613
2000.0,ASKCRIME,3.0,1.468189233278956,613
2000.0,ASKCRIME,4.0,0.9787928221859704,613
2000.0,ASKDRINK,1.0,65.90538336052202,613
2000.0,ASKDRINK,2.0,24.95921696574225,613
2000.0,ASKDRINK,3.0,5.872756933115824,613
2000.0,ASKDRINK,4.0,3.262642740619902,613
2000.0,ASKDRUGS,1.0,83.49673202614379,612
2000.0,ASKDRUGS,2.0,12.581699346405228,612
2000.0,ASKDRUGS,3.0,2.287581699346405,612
2000.0,ASKDRUGS,4.0,1.6339869281045754,612
2000.0,ASKFINAN,1.0,57.98045602605863,614
2000.0,ASKFINAN,2.0,23.452768729641694,614
2000.0,ASKFINAN,3.0,10.586319218241044,614
2000.0,ASKFINAN,4.0,7.980456026058631,614
2000.0,ASKFORGN,1.0,60.130718954248366,612
2000.0,ASKFORGN,2.0,24.01960784313725,612
2000.0,ASKFORGN,3.0,9.640522875816997,612
2000.0,ASKFORGN,4.0,6.209150326797386,612
2000.0,ASKFRBIZ,1.0,67.15927750410509,609
2000.0,ASKFRBIZ,2.0,23.64532019704433,609
2000.0,ASKFRBIZ,3.0,6.075533661740558,609
2000.0,ASKFRBIZ,4.0,3.1198686371100166,609
2000.0,ASKFRTRV,1.0,58.00653594771242,612
2000.0,ASKFRTRV,2.0,26.79738562091504,612
2000.0,ASKFRTRV,3.0,9.803921568627452,612
2000.0,ASKFRTRV,4.0,5.392156862745098,612
2000.0,ASKMENTL,1.0,80.71895424836602,612
2000.0,ASKMENTL,2.0,15.196078431372548,612
2000.0,ASKMENTL,3.0,3.104575163398693,612
2000.0,ASKMENTL,4.0,0.9803921568627452,612
2000.0,ASKSEXOR,1.0,35.139573070607554,609
2000.0,ASKSEXOR,2.0,16.748768472906402,609
2000.0,ASKSEXOR,3.0,24.63054187192118,609
2000.0,ASKSEXOR,4.0,23.48111658456486,609
2000.0,ASNCHNG,1.0,21.616871704745165,569
2000.0,ASNCHNG,2.0,50.96660808435852,569
2000.0,ASNCHNG,3.0,24.077328646748683,569
2000.0,ASNCHNG,4.0,2.460456942003515,569
2000.0,ASNCHNG,5.0,0.8787346221441126,569
2000.0,BIBLE,1.0,29.13223140495868,968
2000.0,BIBLE,2.0,49.48347107438016,968
2000.0,BIBLE,3.0,20.041322314049587,968
2000.0,BIBLE,4.0,1.3429752066115703,968
2000.0,BIZPEOP,1.0,15.04424778761062,452
2000.0,BIZPEOP,2.0,59.070796460176986,452
2000.0,BIZPEOP,3.0,25.88495575221239,452
2000.0,BLKCHNG,1.0,25.463743676222595,593
2000.0,BLKCHNG,2.0,49.4097807757167,593
2000.0,BLKCHNG,3.0,20.23608768971332,593
2000.0,BLKCHNG,4.0,4.3844856661045535,593
2000.0,BLKCHNG,5.0,0.5059021922428331,593
2000.0,BLKCLS,1.0,53.36426914153132,431
2000.0,BLKCLS,2.0,46.63573085846868,431
2000.0,BLKCOM,1.0,62.882096069869,458
2000.0,BLKCOM,2.0,37.117903930131,458
2000.0,BLKREL,1.0,7.00218818380744,457
2000.0,BLKREL,2.0,92.99781181619257,457
2000.0,BLKSCHL,1.0,47.59825327510917,458
2000.0,BLKSCHL,2.0,52.40174672489083,458
2000.0,BLKSIMP,1.0,68.4346701164295,773
2000.0,BLKSIMP,2.0,5.821474773609314,773
2000.0,BLKSIMP,3.0,25.74385510996119,773
2000.0,BORN,1.0,90.0489396411093,1226
2000.0,BORN,2.0,9.9510603588907,1226
2000.0,BUSDECID,1.0,11.990950226244344,442
2000.0,BUSDECID,2.0,88.00904977375565,442
2000.0,CAMWRK,1.0,21.405228758169933,612
2000.0,CAMWRK,2.0,44.77124183006536,612
2000.0,CAMWRK,3.0,14.869281045751634,612
2000.0,CAMWRK,4.0,13.725490196078432,612
2000.0,CAMWRK,5.0,5.228758169934641,612
2000.0,CAPPUN,1.0,75.2828546562228,1149
2000.0,CAPPUN,2.0,24.7171453437772,1149
2000.0,CARSFAM,1.0,12.761904761904765,525
2000.0,CARSFAM,2.0,30.85714285714285,525
2000.0,CARSFAM,3.0,44.761904761904766,525
2000.0,CARSFAM,4.0,10.857142857142858,525
2000.0,CARSFAM,5.0,0.7619047619047619,525
2000.0,CARSGEN,1.0,18.857142857142858,525
2000.0,CARSGEN,2.0,32.0,525
2000.0,CARSGEN,3.0,41.523809523809526,525
2000.0,CARSGEN,4.0,6.857142857142858,525
2000.0,CARSGEN,5.0,0.7619047619047619,525
2000.0,CHARISMA,1.0,5.239385727190606,1107
2000.0,CHARISMA,2.0,94.7606142728094,1107
2000.0,CHEMGEN,1.0,14.722753346080305,523
2000.0,CHEMGEN,2.0,31.35755258126195,523
2000.0,CHEMGEN,3.0,44.35946462715105,523
2000.0,CHEMGEN,4.0,8.413001912045889,523
2000.0,CHEMGEN,5.0,1.147227533460803,523
2000.0,CHKTRAVL,1.0,25.657894736842103,608
2000.0,CHKTRAVL,2.0,42.76315789473684,608
2000.0,CHKTRAVL,3.0,14.309210526315788,608
2000.0,CHKTRAVL,4.0,14.309210526315788,608
2000.0,CHKTRAVL,5.0,2.960526315789473,608
2000.0,CHOICE,1.0,45.90163934426229,610
2000.0,CHOICE,2.0,23.770491803278688,610
2000.0,CHOICE,3.0,23.60655737704918,610
2000.0,CHOICE,4.0,3.934426229508197,610
2000.0,CHOICE,5.0,1.639344262295082,610
2000.0,CHOICE,6.0,1.147540983606557,610
2000.0,CLASS,1.0,4.170073589533932,1223
2000.0,CLASS,2.0,46.11610793131644,1223
2000.0,CLASS,3.0,46.03434178250204,1223
2000.0,CLASS,4.0,3.679476696647588,1223
2000.0,CNTRLIFE,1.0,0.8210180623973727,609
2000.0,CNTRLIFE,2.0,1.477832512315271,609
2000.0,CNTRLIFE,3.0,2.2988505747126435,609
2000.0,CNTRLIFE,4.0,20.6896551724138,609
2000.0,CNTRLIFE,5.0,14.44991789819376,609
2000.0,CNTRLIFE,6.0,30.706075533661743,609
2000.0,CNTRLIFE,7.0,29.55665024630542,609
2000.0,COLATH,4.0,64.5859872611465,785
2000.0,COLATH,5.0,35.4140127388535,785
2000.0,COLCOM,4.0,35.50446998722861,783
2000.0,COLCOM,5.0,64.4955300127714,783
2000.0,COLHOMO,4.0,78.02746566791511,801
2000.0,COLHOMO,5.0,21.97253433208489,801
2000.0,COLMIL,4.0,53.89447236180904,796
2000.0,COLMIL,5.0,46.10552763819096,796
2000.0,COLRAC,4.0,53.61216730038023,789
2000.0,COLRAC,5.0,46.38783269961977,789
2000.0,COMDATA,1.0,0.8291873963515755,603
2000.0,COMDATA,2.0,11.276948590381426,603
2000.0,COMDATA,3.0,9.78441127694859,603
2000.0,COMDATA,4.0,23.548922056384743,603
2000.0,COMDATA,5.0,34.49419568822554,603
2000.0,COMDATA,6.0,20.066334991708125,603
2000.0,COMEMAIL,1.0,3.005008347245409,599
2000.0,COMEMAIL,2.0,15.692821368948248,599
2000.0,COMEMAIL,3.0,12.520868113522535,599
2000.0,COMEMAIL,4.0,26.54424040066778,599
2000.0,COMEMAIL,5.0,25.208681135225376,599
2000.0,COMEMAIL,6.0,17.028380634390654,599
2000.0,COMPFIN,1.0,16.20294599018003,611
2000.0,COMPFIN,2.0,32.56955810147299,611
2000.0,COMPFIN,3.0,17.18494271685761,611
2000.0,COMPFIN,4.0,28.150572831423897,611
2000.0,COMPFIN,5.0,5.8919803600654665,611
2000.0,COMPORN,1.0,37.2712146422629,601
2000.0,COMPORN,2.0,38.60232945091514,601
2000.0,COMPORN,3.0,8.818635607321132,601
2000.0,COMPORN,4.0,8.153078202995008,601
2000.0,COMPORN,5.0,3.826955074875208,601
2000.0,COMPORN,6.0,3.327787021630616,601
2000.0,COMPREND,1.0,84.0065952184666,1213
2000.0,COMPREND,2.0,13.76751854905194,1213
2000.0,COMPREND,3.0,2.225886232481451,1213
2000.0,COMSNOOP,1.0,13.531353135313532,606
2000.0,COMSNOOP,2.0,31.51815181518152,606
2000.0,COMSNOOP,3.0,21.61716171617162,606
2000.0,COMSNOOP,4.0,17.656765676567655,606
2000.0,COMSNOOP,5.0,11.716171617161717,606
2000.0,COMSNOOP,6.0,3.96039603960396,606
2000.0,COMSTEAL,1.0,1.827242524916944,602
2000.0,COMSTEAL,2.0,11.129568106312291,602
2000.0,COMSTEAL,3.0,8.305647840531561,602
2000.0,COMSTEAL,4.0,24.750830564784053,602
2000.0,COMSTEAL,5.0,32.39202657807309,602
2000.0,COMSTEAL,6.0,21.59468438538206,602
2000.0,COMSYS,1.0,1.3311148086522462,601
2000.0,COMSYS,2.0,18.302828618968388,601
2000.0,COMSYS,3.0,13.14475873544093,601
2000.0,COMSYS,4.0,29.950083194675543,601
2000.0,COMSYS,5.0,24.958402662229616,601
2000.0,COMSYS,6.0,12.312811980033278,601
2000.0,COMTYPE,1.0,19.324577861163228,533
2000.0,COMTYPE,2.0,26.07879924953096,533
2000.0,COMTYPE,3.0,39.39962476547842,533
2000.0,COMTYPE,4.0,4.315196998123827,533
2000.0,COMTYPE,5.0,10.881801125703564,533
2000.0,CONAGE,1.0,8.559498956158663,479
2000.0,CONAGE,2.0,29.436325678496868,479
2000.0,CONAGE,3.0,53.86221294363257,479
2000.0,CONAGE,4.0,8.1419624217119,479
2000.0,CONARMY,1.0,44.45797807551767,821
2000.0,CONARMY,2.0,45.18879415347138,821
2000.0,CONARMY,3.0,10.353227771010962,821
2000.0,CONBUS,1.0,31.211750305997555,817
2000.0,CONBUS,2.0,57.89473684210527,817
2000.0,CONBUS,3.0,10.893512851897183,817
2000.0,CONCLASS,1.0,4.23728813559322,472
2000.0,CONCLASS,2.0,17.796610169491526,472
2000.0,CONCLASS,3.0,67.58474576271186,472
2000.0,CONCLASS,4.0,10.38135593220339,472
2000.0,CONCLERG,1.0,27.27272727272727,803
2000.0,CONCLERG,2.0,52.05479452054794,803
2000.0,CONCLERG,3.0,20.672478206724783,803
