YEAR,Question,Answer,Percentage,Num_Answers
2000.0,ABANY,1.0,42.2680412371134,582
2000.0,ABANY,2.0,57.73195876288659,582
2000.0,ABDEFECT,1.0,83.24786324786325,585
2000.0,ABDEFECT,2.0,16.75213675213675,585
2000.0,ABHLTH,1.0,90.72164948453609,582
2000.0,ABHLTH,2.0,9.278350515463918,582
2000.0,ABNOMORE,1.0,44.310344827586206,580
2000.0,ABNOMORE,2.0,55.68965517241379,580
2000.0,ABPOOR,1.0,48.10996563573883,582
2000.0,ABPOOR,2.0,51.890034364261176,582
2000.0,ABRAPE,1.0,83.30434782608695,575
2000.0,ABRAPE,2.0,16.695652173913047,575
2000.0,ABSINGLE,1.0,42.08695652173913,575
2000.0,ABSINGLE,2.0,57.913043478260875,575
2000.0,ADULTS,1.0,39.49945593035908,919
2000.0,ADULTS,2.0,48.42219804134929,919
2000.0,ADULTS,3.0,9.140369967355822,919
2000.0,ADULTS,4.0,2.6115342763873777,919
2000.0,ADULTS,5.0,0.3264417845484222,919
2000.0,AFFRMACT,1.0,17.876106194690266,565
2000.0,AFFRMACT,2.0,9.20353982300885,565
2000.0,AFFRMACT,3.0,27.61061946902655,565
2000.0,AFFRMACT,4.0,45.309734513274336,565
2000.0,AGE,1.0,44.72222222222222,720
2000.0,AGE,2.0,26.52777777777778,720
2000.0,AGE,3.0,28.749999999999996,720
2000.0,AGED,1.0,50.66666666666667,600
2000.0,AGED,2.0,32.0,600
2000.0,AGED,3.0,17.333333333333336,600
2000.0,AMPROGRN,1.0,12.42603550295858,338
2000.0,AMPROGRN,2.0,39.94082840236686,338
2000.0,AMPROGRN,3.0,47.633136094674555,338
2000.0,ANTESTS,1.0,10.773480662983426,362
2000.0,ANTESTS,2.0,43.646408839779006,362
2000.0,ANTESTS,3.0,21.823204419889503,362
2000.0,ANTESTS,4.0,15.469613259668508,362
2000.0,ANTESTS,5.0,8.287292817679557,362
2000.0,ASKCOMP,1.0,78.18181818181819,440
2000.0,ASKCOMP,2.0,18.409090909090907,440
2000.0,ASKCOMP,3.0,2.0454545454545454,440
2000.0,ASKCOMP,4.0,1.3636363636363635,440
2000.0,ASKCRIME,1.0,83.66890380313198,447
2000.0,ASKCRIME,2.0,13.646532438478747,447
2000.0,ASKCRIME,3.0,1.1185682326621924,447
2000.0,ASKCRIME,4.0,1.5659955257270695,447
2000.0,ASKDRINK,1.0,63.33333333333333,450
2000.0,ASKDRINK,2.0,27.111111111111114,450
2000.0,ASKDRINK,3.0,6.222222222222222,450
2000.0,ASKDRINK,4.0,3.3333333333333335,450
2000.0,ASKDRUGS,1.0,81.69642857142857,448
2000.0,ASKDRUGS,2.0,14.955357142857142,448
2000.0,ASKDRUGS,3.0,1.5625,448
2000.0,ASKDRUGS,4.0,1.7857142857142856,448
2000.0,ASKFINAN,1.0,45.982142857142854,448
2000.0,ASKFINAN,2.0,29.464285714285715,448
2000.0,ASKFINAN,3.0,12.5,448
2000.0,ASKFINAN,4.0,12.053571428571429,448
2000.0,ASKFORGN,1.0,48.53273137697517,443
2000.0,ASKFORGN,2.0,28.66817155756208,443
2000.0,ASKFORGN,3.0,12.866817155756207,443
2000.0,ASKFORGN,4.0,9.932279909706546,443
2000.0,ASKFRBIZ,1.0,59.2255125284738,439
2000.0,ASKFRBIZ,2.0,30.068337129840543,439
2000.0,ASKFRBIZ,3.0,6.83371298405467,439
2000.0,ASKFRBIZ,4.0,3.8724373576309796,439
2000.0,ASKFRTRV,1.0,51.81818181818182,440
2000.0,ASKFRTRV,2.0,33.63636363636363,440
2000.0,ASKFRTRV,3.0,9.090909090909092,440
2000.0,ASKFRTRV,4.0,5.454545454545454,440
2000.0,ASKMENTL,1.0,71.33333333333334,450
2000.0,ASKMENTL,2.0,22.666666666666664,450
2000.0,ASKMENTL,3.0,4.222222222222222,450
