YEAR,Question,Answer,Percentage,Num_Answers
2000.0,ABANY,1.0,36.50190114068441,263
2000.0,ABANY,2.0,63.49809885931559,263
2000.0,ABDEFECT,1.0,69.46564885496184,262
2000.0,ABDEFECT,2.0,30.53435114503817,262
2000.0,ABHLTH,1.0,82.39700374531836,267
2000.0,ABHLTH,2.0,17.60299625468165,267
2000.0,ABNOMORE,1.0,36.12167300380228,263
2000.0,ABNOMORE,2.0,63.87832699619772,263
2000.0,ABPOOR,1.0,39.163498098859314,263
2000.0,ABPOOR,2.0,60.836501901140686,263
2000.0,ABRAPE,1.0,74.90196078431373,255
2000.0,ABRAPE,2.0,25.09803921568628,255
2000.0,ABSINGLE,1.0,29.961089494163424,257
2000.0,ABSINGLE,2.0,70.03891050583657,257
2000.0,AFFRMACT,1.0,32.49097472924188,277
2000.0,AFFRMACT,2.0,11.552346570397113,277
2000.0,AFFRMACT,3.0,22.02166064981949,277
2000.0,AFFRMACT,4.0,33.935018050541515,277
2000.0,AGED,1.0,54.92424242424242,264
2000.0,AGED,2.0,28.030303030303028,264
2000.0,AGED,3.0,17.045454545454543,264
2000.0,AMPROGRN,1.0,17.105263157894736,152
2000.0,AMPROGRN,2.0,39.47368421052632,152
2000.0,AMPROGRN,3.0,43.42105263157895,152
2000.0,ANTESTS,1.0,11.627906976744184,172
2000.0,ANTESTS,2.0,33.72093023255814,172
2000.0,ANTESTS,3.0,27.906976744186046,172
2000.0,ANTESTS,4.0,20.348837209302324,172
2000.0,ANTESTS,5.0,6.395348837209303,172
2000.0,ASKCOMP,1.0,73.20574162679426,209
2000.0,ASKCOMP,2.0,21.052631578947366,209
2000.0,ASKCOMP,3.0,2.392344497607656,209
2000.0,ASKCOMP,4.0,3.349282296650718,209
2000.0,ASKCRIME,1.0,80.46511627906978,215
2000.0,ASKCRIME,2.0,13.023255813953488,215
2000.0,ASKCRIME,3.0,4.186046511627907,215
2000.0,ASKCRIME,4.0,2.3255813953488373,215
2000.0,ASKDRINK,1.0,64.48598130841121,214
2000.0,ASKDRINK,2.0,24.76635514018692,214
2000.0,ASKDRINK,3.0,6.5420560747663545,214
2000.0,ASKDRINK,4.0,4.205607476635514,214
2000.0,ASKDRUGS,1.0,84.03755868544602,213
2000.0,ASKDRUGS,2.0,10.7981220657277,213
2000.0,ASKDRUGS,3.0,1.8779342723004693,213
2000.0,ASKDRUGS,4.0,3.286384976525822,213
2000.0,ASKFINAN,1.0,47.68518518518518,216
2000.0,ASKFINAN,2.0,26.38888888888889,216
2000.0,ASKFINAN,3.0,12.5,216
2000.0,ASKFINAN,4.0,13.425925925925927,216
2000.0,ASKFORGN,1.0,54.32692307692307,208
2000.0,ASKFORGN,2.0,24.519230769230766,208
2000.0,ASKFORGN,3.0,10.096153846153848,208
2000.0,ASKFORGN,4.0,11.057692307692308,208
2000.0,ASKFRBIZ,1.0,60.47619047619048,210
2000.0,ASKFRBIZ,2.0,21.904761904761905,210
2000.0,ASKFRBIZ,3.0,8.095238095238095,210
2000.0,ASKFRBIZ,4.0,9.523809523809524,210
2000.0,ASKFRTRV,1.0,55.92417061611374,211
2000.0,ASKFRTRV,2.0,24.170616113744074,211
2000.0,ASKFRTRV,3.0,10.42654028436019,211
2000.0,ASKFRTRV,4.0,9.47867298578199,211
2000.0,ASKMENTL,1.0,73.95348837209302,215
2000.0,ASKMENTL,2.0,18.13953488372093,215
2000.0,ASKMENTL,3.0,4.186046511627907,215
2000.0,ASKMENTL,4.0,3.72093023255814,215
2000.0,ASKSEXOR,1.0,30.985915492957744,213
2000.0,ASKSEXOR,2.0,15.492957746478872,213
2000.0,ASKSEXOR,3.0,22.06572769953052,213
2000.0,ASKSEXOR,4.0,31.455399061032864,213
2000.0,ASNCHNG,1.0,27.07182320441989,181
2000.0,ASNCHNG,2.0,35.91160220994475,181
2000.0,ASNCHNG,3.0,27.6243093922652,181
2000.0,ASNCHNG,4.0,3.314917127071823,181
2000.0,ASNCHNG,5.0,6.077348066298343,181
2000.0,BIBLE,1.0,52.87356321839081,348
2000.0,BIBLE,2.0,35.05747126436782,348
2000.0,BIBLE,3.0,10.919540229885058,348
2000.0,BIBLE,4.0,1.1494252873563218,348
2000.0,BIZPEOP,1.0,10.79136690647482,139
2000.0,BIZPEOP,2.0,51.798561151079134,139
2000.0,BIZPEOP,3.0,37.410071942446045,139
2000.0,BLKCHNG,1.0,21.53846153846154,195
2000.0,BLKCHNG,2.0,43.58974358974359,195
2000.0,BLKCHNG,3.0,20.0,195
2000.0,BLKCHNG,4.0,10.76923076923077,195
2000.0,BLKCHNG,5.0,4.102564102564102,195
2000.0,BLKCLS,1.0,60.0,5
