YEAR,Question,Answer,Percentage,Num_Answers
2000.0,ABANY,1.0,32.26837060702875,313
2000.0,ABANY,2.0,67.73162939297124,313
2000.0,ABDEFECT,1.0,80.76923076923077,312
2000.0,ABDEFECT,2.0,19.230769230769234,312
2000.0,ABHLTH,1.0,88.71473354231975,319
2000.0,ABHLTH,2.0,11.285266457680251,319
2000.0,ABNOMORE,1.0,35.38961038961039,308
2000.0,ABNOMORE,2.0,64.6103896103896,308
2000.0,ABPOOR,1.0,39.490445859872615,314
2000.0,ABPOOR,2.0,60.509554140127385,314
2000.0,ABRAPE,1.0,82.29508196721311,305
2000.0,ABRAPE,2.0,17.704918032786885,305
2000.0,ABSINGLE,1.0,34.64052287581699,306
2000.0,ABSINGLE,2.0,65.359477124183,306
2000.0,ADULTS,1.0,52.74949083503056,491
2000.0,ADULTS,2.0,42.15885947046843,491
2000.0,ADULTS,3.0,4.480651731160896,491
2000.0,ADULTS,4.0,0.40733197556008144,491
2000.0,ADULTS,5.0,0.20366598778004072,491
2000.0,AFFRMACT,1.0,6.36042402826855,283
2000.0,AFFRMACT,2.0,6.713780918727916,283
2000.0,AFFRMACT,3.0,32.15547703180212,283
2000.0,AFFRMACT,4.0,54.77031802120141,283
2000.0,AGE,3.0,100.0,491
2000.0,AGED,1.0,26.168224299065418,321
2000.0,AGED,2.0,52.95950155763239,321
2000.0,AGED,3.0,20.87227414330218,321
2000.0,AMPROGRN,1.0,15.340909090909092,176
2000.0,AMPROGRN,2.0,53.97727272727273,176
2000.0,AMPROGRN,3.0,30.681818181818183,176
2000.0,ANTESTS,1.0,9.340659340659341,182
2000.0,ANTESTS,2.0,53.2967032967033,182
2000.0,ANTESTS,3.0,17.582417582417584,182
2000.0,ANTESTS,4.0,16.483516483516482,182
2000.0,ANTESTS,5.0,3.296703296703297,182
2000.0,ASKCOMP,1.0,75.21739130434783,230
2000.0,ASKCOMP,2.0,21.304347826086957,230
2000.0,ASKCOMP,3.0,2.1739130434782608,230
2000.0,ASKCOMP,4.0,1.3043478260869565,230
2000.0,ASKCRIME,1.0,82.70042194092827,237
2000.0,ASKCRIME,2.0,16.455696202531644,237
2000.0,ASKCRIME,3.0,0.42194092827004215,237
2000.0,ASKCRIME,4.0,0.42194092827004215,237
2000.0,ASKDRINK,1.0,67.5,240
2000.0,ASKDRINK,2.0,28.749999999999996,240
2000.0,ASKDRINK,3.0,2.083333333333333,240
2000.0,ASKDRINK,4.0,1.6666666666666667,240
2000.0,ASKDRUGS,1.0,83.75,240
2000.0,ASKDRUGS,2.0,14.583333333333334,240
2000.0,ASKDRUGS,3.0,0.8333333333333334,240
2000.0,ASKDRUGS,4.0,0.8333333333333334,240
2000.0,ASKFINAN,1.0,45.83333333333333,240
2000.0,ASKFINAN,2.0,29.583333333333332,240
2000.0,ASKFINAN,3.0,11.25,240
2000.0,ASKFINAN,4.0,13.333333333333334,240
2000.0,ASKFORGN,1.0,51.072961373390555,233
2000.0,ASKFORGN,2.0,32.61802575107296,233
2000.0,ASKFORGN,3.0,10.300429184549357,233
2000.0,ASKFORGN,4.0,6.008583690987124,233
2000.0,ASKFRBIZ,1.0,62.11453744493392,227
2000.0,ASKFRBIZ,2.0,31.277533039647576,227
2000.0,ASKFRBIZ,3.0,4.845814977973569,227
2000.0,ASKFRBIZ,4.0,1.762114537444934,227
2000.0,ASKFRTRV,1.0,52.58620689655172,232
2000.0,ASKFRTRV,2.0,34.05172413793103,232
2000.0,ASKFRTRV,3.0,8.620689655172415,232
2000.0,ASKFRTRV,4.0,4.741379310344827,232
2000.0,ASKMENTL,1.0,69.16666666666667,240
2000.0,ASKMENTL,2.0,25.833333333333336,240
2000.0,ASKMENTL,3.0,3.3333333333333335,240
2000.0,ASKMENTL,4.0,1.6666666666666667,240
2000.0,ASKSEXOR,1.0,41.27659574468085,235
2000.0,ASKSEXOR,2.0,22.97872340425532,235
2000.0,ASKSEXOR,3.0,19.148936170212767,235
2000.0,ASKSEXOR,4.0,16.595744680851062,235
2000.0,ASNCHNG,1.0,19.072164948453608,194
2000.0,ASNCHNG,2.0,43.29896907216495,194
2000.0,ASNCHNG,3.0,29.381443298969074,194
2000.0,ASNCHNG,4.0,5.670103092783505,194
2000.0,ASNCHNG,5.0,2.5773195876288657,194
2000.0,BIBLE,1.0,45.3125,384
2000.0,BIBLE,2.0,43.75,384
2000.0,BIBLE,3.0,10.416666666666668,384
2000.0,BIBLE,4.0,0.5208333333333333,384
2000.0,BIZPEOP,1.0,19.879518072289155,166
2000.0,BIZPEOP,2.0,48.795180722891565,166
2000.0,BIZPEOP,3.0,31.32530120481928,166
2000.0,BLKCHNG,1.0,37.27272727272727,220
2000.0,BLKCHNG,2.0,40.45454545454545,220
2000.0,BLKCHNG,3.0,16.363636363636363,220
2000.0,BLKCHNG,4.0,5.0,220
2000.0,BLKCHNG,5.0,0.9090909090909091,220
2000.0,BLKCLS,1.0,43.96551724137931,116
2000.0,BLKCLS,2.0,56.03448275862068,116
2000.0,BLKCOM,1.0,66.17647058823529,136
2000.0,BLKCOM,2.0,33.82352941176471,136
2000.0,BLKREL,1.0,6.61764705882353,136
2000.0,BLKREL,2.0,93.38235294117648,136
2000.0,BLKSCHL,1.0,17.647058823529413,136
2000.0,BLKSCHL,2.0,82.35294117647058,136
2000.0,BLKSIMP,1.0,76.0797342192691,301
2000.0,BLKSIMP,2.0,4.983388704318937,301
2000.0,BLKSIMP,3.0,18.93687707641196,301
2000.0,BORN,1.0,94.48979591836735,490
2000.0,BORN,2.0,5.510204081632653,490
2000.0,BUSDECID,1.0,16.666666666666664,162
2000.0,BUSDECID,2.0,83.33333333333334,162
2000.0,CAMWRK,1.0,21.45922746781116,233
2000.0,CAMWRK,2.0,54.93562231759657,233
2000.0,CAMWRK,3.0,10.72961373390558,233
2000.0,CAMWRK,4.0,9.44206008583691,233
2000.0,CAMWRK,5.0,3.4334763948497855,233
2000.0,CAPPUN,1.0,69.24882629107981,426
2000.0,CAPPUN,2.0,30.751173708920188,426
2000.0,CARSFAM,1.0,19.689119170984455,193
2000.0,CARSFAM,2.0,20.72538860103627,193
2000.0,CARSFAM,3.0,48.18652849740933,193
2000.0,CARSFAM,4.0,10.362694300518134,193
2000.0,CARSFAM,5.0,1.0362694300518136,193
2000.0,CARSGEN,1.0,19.270833333333336,192
2000.0,CARSGEN,2.0,22.916666666666664,192
2000.0,CARSGEN,3.0,49.47916666666667,192
2000.0,CARSGEN,4.0,7.8125,192
2000.0,CARSGEN,5.0,0.5208333333333333,192
2000.0,CHARISMA,1.0,4.260089686098654,446
2000.0,CHARISMA,2.0,95.73991031390135,446
2000.0,CHEMGEN,1.0,22.33502538071066,197
2000.0,CHEMGEN,2.0,28.426395939086298,197
2000.0,CHEMGEN,3.0,39.59390862944163,197
2000.0,CHEMGEN,4.0,7.614213197969544,197
2000.0,CHEMGEN,5.0,2.030456852791878,197
2000.0,CHKTRAVL,1.0,28.695652173913043,230
2000.0,CHKTRAVL,2.0,46.95652173913044,230
2000.0,CHKTRAVL,3.0,10.0,230
2000.0,CHKTRAVL,4.0,11.73913043478261,230
2000.0,CHKTRAVL,5.0,2.608695652173913,230
2000.0,CHOICE,1.0,41.9753086419753,243
2000.0,CHOICE,2.0,27.160493827160494,243
2000.0,CHOICE,3.0,23.456790123456788,243
2000.0,CHOICE,4.0,4.938271604938271,243
2000.0,CHOICE,5.0,0.411522633744856,243
2000.0,CHOICE,6.0,2.05761316872428,243
2000.0,CLASS,1.0,6.7761806981519515,487
2000.0,CLASS,2.0,33.67556468172484,487
2000.0,CLASS,3.0,53.182751540041075,487
2000.0,CLASS,4.0,6.365503080082135,487
2000.0,CNTRLIFE,1.0,1.6528925619834711,242
2000.0,CNTRLIFE,2.0,0.8264462809917356,242
2000.0,CNTRLIFE,3.0,2.479338842975207,242
2000.0,CNTRLIFE,4.0,28.512396694214875,242
2000.0,CNTRLIFE,5.0,10.743801652892563,242
2000.0,CNTRLIFE,6.0,21.90082644628099,242
2000.0,CNTRLIFE,7.0,33.88429752066116,242
2000.0,COLATH,4.0,33.442622950819676,305
2000.0,COLATH,5.0,66.55737704918033,305
2000.0,COLCOM,4.0,59.0,300
2000.0,COLCOM,5.0,41.0,300
2000.0,COLHOMO,4.0,59.73154362416108,298
2000.0,COLHOMO,5.0,40.26845637583892,298
2000.0,COLMIL,4.0,27.070063694267514,314
2000.0,COLMIL,5.0,72.92993630573248,314
2000.0,COLRAC,4.0,40.63492063492063,315
2000.0,COLRAC,5.0,59.36507936507937,315
2000.0,COMDATA,1.0,1.3157894736842104,228
2000.0,COMDATA,2.0,17.982456140350877,228
2000.0,COMDATA,3.0,7.456140350877193,228
2000.0,COMDATA,4.0,20.614035087719298,228
2000.0,COMDATA,5.0,29.82456140350877,228
2000.0,COMDATA,6.0,22.807017543859647,228
2000.0,COMEMAIL,1.0,0.904977375565611,221
2000.0,COMEMAIL,2.0,18.552036199095024,221
2000.0,COMEMAIL,3.0,11.76470588235294,221
2000.0,COMEMAIL,4.0,24.8868778280543,221
2000.0,COMEMAIL,5.0,22.624434389140273,221
2000.0,COMEMAIL,6.0,21.266968325791854,221
2000.0,COMPFIN,1.0,19.82758620689655,232
2000.0,COMPFIN,2.0,31.46551724137931,232
2000.0,COMPFIN,3.0,15.086206896551724,232
2000.0,COMPFIN,4.0,28.448275862068968,232
2000.0,COMPFIN,5.0,5.172413793103448,232
2000.0,COMPORN,1.0,15.625,224
2000.0,COMPORN,2.0,38.392857142857146,224
2000.0,COMPORN,3.0,14.732142857142858,224
2000.0,COMPORN,4.0,11.160714285714286,224
