YEAR,Question,Answer,Percentage,Num_Answers
2000.0,ABANY,1.0,39.839034205231385,994
2000.0,ABANY,2.0,60.160965794768615,994
2000.0,ABDEFECT,1.0,76.45875251509054,994
2000.0,ABDEFECT,2.0,23.541247484909455,994
2000.0,ABHLTH,1.0,86.83417085427135,995
2000.0,ABHLTH,2.0,13.165829145728644,995
2000.0,ABNOMORE,1.0,38.32153690596562,989
2000.0,ABNOMORE,2.0,61.67846309403438,989
2000.0,ABPOOR,1.0,41.229838709677416,992
2000.0,ABPOOR,2.0,58.77016129032258,992
2000.0,ABRAPE,1.0,77.70897832817337,969
2000.0,ABRAPE,2.0,22.291021671826623,969
2000.0,ABSINGLE,1.0,37.8159757330637,989
2000.0,ABSINGLE,2.0,62.1840242669363,989
2000.0,ADULTS,1.0,37.957124842370746,1586
2000.0,ADULTS,2.0,50.56746532156369,1586
2000.0,ADULTS,3.0,8.448928121059268,1586
2000.0,ADULTS,4.0,2.648171500630517,1586
2000.0,ADULTS,5.0,0.37831021437578816,1586
2000.0,AFFRMACT,1.0,11.995967741935484,992
2000.0,AFFRMACT,2.0,7.560483870967742,992
2000.0,AFFRMACT,3.0,27.923387096774192,992
2000.0,AFFRMACT,4.0,52.52016129032258,992
2000.0,AGE,1.0,45.54280670785525,1133
2000.0,AGE,2.0,27.184466019417474,1133
2000.0,AGE,3.0,27.27272727272727,1133
2000.0,AGED,1.0,49.18190567853705,1039
2000.0,AGED,2.0,32.9162656400385,1039
2000.0,AGED,3.0,17.901828681424448,1039
2000.0,AMPROGRN,1.0,9.523809523809524,588
2000.0,AMPROGRN,2.0,43.707482993197274,588
2000.0,AMPROGRN,3.0,46.7687074829932,588
2000.0,ANTESTS,1.0,9.276729559748427,636
2000.0,ANTESTS,2.0,38.83647798742139,636
2000.0,ANTESTS,3.0,21.855345911949687,636
2000.0,ANTESTS,4.0,19.339622641509436,636
2000.0,ANTESTS,5.0,10.69182389937107,636
2000.0,ASKCOMP,1.0,75.62913907284768,755
2000.0,ASKCOMP,2.0,19.735099337748345,755
2000.0,ASKCOMP,3.0,1.9867549668874174,755
2000.0,ASKCOMP,4.0,2.6490066225165565,755
2000.0,ASKCRIME,1.0,85.88235294117646,765
2000.0,ASKCRIME,2.0,11.895424836601306,765
2000.0,ASKCRIME,3.0,1.5686274509803921,765
2000.0,ASKCRIME,4.0,0.6535947712418301,765
2000.0,ASKDRINK,1.0,62.58148631029987,767
2000.0,ASKDRINK,2.0,28.292046936114733,767
2000.0,ASKDRINK,3.0,6.51890482398957,767
2000.0,ASKDRINK,4.0,2.607561929595828,767
2000.0,ASKDRUGS,1.0,82.39895697522816,767
2000.0,ASKDRUGS,2.0,14.602346805736635,767
2000.0,ASKDRUGS,3.0,1.8252933507170794,767
2000.0,ASKDRUGS,4.0,1.1734028683181226,767
2000.0,ASKFINAN,1.0,44.052287581699346,765
2000.0,ASKFINAN,2.0,32.549019607843135,765
2000.0,ASKFINAN,3.0,12.287581699346404,765
2000.0,ASKFINAN,4.0,11.11111111111111,765
2000.0,ASKFORGN,1.0,44.047619047619044,756
2000.0,ASKFORGN,2.0,31.216931216931215,756
2000.0,ASKFORGN,3.0,15.476190476190476,756
2000.0,ASKFORGN,4.0,9.25925925925926,756
2000.0,ASKFRBIZ,1.0,58.500669344042834,747
